facility_id,amenity_type,name,lat,lon
454697962,pharmacy,Humana,42.5758656,21.5793192
695414447,pharmacy,Barnatore Olisa,42.6371156,21.0924325
800644182,pharmacy,RAMKU Pharmacy,42.6556532,21.1772096
826704200,pharmacy,Fidanfarm,42.650795,21.1575166
1033293864,pharmacy,Unknown,42.5837727,21.574977
1033295969,pharmacy,Unknown,42.5764566,21.5805347
1033297390,pharmacy,Unknown,42.5888814,21.5753092
1122601139,pharmacy,"Depo Parafarmaceutike ""SHEMO""",42.224914,20.7298712
1215015781,pharmacy,Barnatore A,42.6570447,21.1667089
1298871586,pharmacy,Luma,42.2232853,20.7330446
1344618310,pharmacy,"Barnatore ""REMEDIA"" Driton Berisha",42.6551749,20.2929283
1484015750,pharmacy,Barnatore,42.5823576,21.5737717
1558177872,pharmacy,Unknown,42.8889044,20.8676895
1558177873,pharmacy,Albi Pharm,42.8888841,20.8675467
1558177874,pharmacy,Unknown,42.8887128,20.867714
1558177875,pharmacy,Gentiana Lutea,42.8880843,20.8679422
1558177877,pharmacy,Unknown,42.8874645,20.8674877
1559933833,pharmacy,Unknown,42.6150243,21.1790741
1563597033,pharmacy,Barnatorja e shtetit,42.888694,20.8696341
1623017886,pharmacy,Vita Barnatore,42.6525806,21.1585395
1650180955,pharmacy,Barnatore,42.2237666,20.7114621
1675722426,pharmacy,Unknown,42.2169919,20.7433631
1839050261,pharmacy,Barnatorja Arbëri,42.2153932,20.7301642
2162845592,pharmacy,Barnatore Aura,42.6481042,21.1623351
2162845593,pharmacy,Barnatore Pharmacy NIKI,42.6481236,21.1624111
2162845594,pharmacy,Barnatore Pharmacy,42.6482218,21.162334
2162845595,pharmacy,Barnatore Zana Pharm,42.6481559,21.1624187
2162845600,pharmacy,Fati Im-Laboratori,42.648,21.1619136
2162845644,pharmacy,Pharmacy Barnatore,42.644556,21.1602738
2162845822,pharmacy,Chamomila,42.6482015,21.1623901
2164086550,pharmacy,Green Pharmacy,42.6638728,21.1610459
2164142526,pharmacy,Valeriana,42.6615738,21.1596849
2185708275,pharmacy,Barnatore Global Pharm,42.6552097,21.1568563
2310393137,pharmacy,Rizvanolli,42.3695469,20.4310036
2310393139,pharmacy,Bima Bli,42.3697808,20.4308651
2440877084,pharmacy,Unknown,42.3695857,20.4311955
2449367443,pharmacy,Unknown,42.5016465,20.916424
2556861579,pharmacy,Unknown,42.8841396,20.8711131
2556861583,pharmacy,Unknown,42.8843764,20.8707447
3213240406,pharmacy,Unknown,42.4749962,20.2761967
3396483987,pharmacy,Unknown,42.5738351,21.2464188
3728352015,pharmacy,Barnatore Ideali,42.5363873,21.0088494
3731111167,pharmacy,Edi Farm,42.3902628,20.4261838
3751733685,pharmacy,Gega Farm,42.3697441,20.4312346
3751733686,pharmacy,Hygia,42.3698875,20.4308025
3751737043,pharmacy,Unknown,42.3801813,20.4277115
3751737573,pharmacy,Dr. Agimi,42.3722318,20.4362087
3762046437,pharmacy,Diellza pharm,42.3882023,20.4316469
3992141631,pharmacy,Unknown,42.214065,20.7314963
3992141632,pharmacy,Unknown,42.2137709,20.7321535
3992141633,pharmacy,Unknown,42.2139736,20.731735
4183719790,pharmacy,Unknown,42.6018295,21.1915496
4183719989,pharmacy,Unknown,42.6021085,21.191545
4350830431,pharmacy,USA-D,42.6434833,21.166743
4350830432,pharmacy,SHËNDETI,42.6435458,21.1668322
4370808048,pharmacy,Barnatore,42.6640268,21.166342
4417362015,pharmacy,Unknown,42.4337818,21.0373731
4418034793,pharmacy,melisa apothecary,42.5700298,20.7172601
4418734996,pharmacy,Rexall B Pharmacy,42.6453327,21.1697114
4418735993,pharmacy,Diella Barnatore,42.6453773,21.1697328
4418803702,pharmacy,Kushtrimi Barnatore,42.6456015,21.1697163
4421095789,pharmacy,Pri pharm,42.6606471,21.1672557
4424333389,pharmacy,MELISSA KIJEVE,42.5697835,20.7176595
4426393689,pharmacy,Family Pharm,42.6591824,21.1779546
4426957389,pharmacy,REXAL B,42.6453385,21.1697354
4426957489,pharmacy,DIELLA,42.6454006,21.1697498
4426957589,pharmacy,KUSHTRIMI,42.6452886,21.1697101
4429426702,pharmacy,Unknown,42.6674864,21.1643394
4430436797,pharmacy,Rexall,42.6526587,21.1586787
4430436893,pharmacy,JONI 1,42.6528086,21.1764587
4430459891,pharmacy,BARNATORE QENDRORE E QKUK . SË,42.6443518,21.1649995
4430459892,pharmacy,MN PHARM,42.6446683,21.158457
4435010491,pharmacy,Neo Dent,42.6666015,21.1764839
4458516091,pharmacy,Swiss Pharm,42.666656,21.1764147
4476522323,pharmacy,Kalabria,42.6584196,21.146753
4487691791,pharmacy,Dona Pharm,42.6647915,21.1686281
4487691991,pharmacy,Family Pharm,42.6675595,21.1682814
4487709989,pharmacy,NL-Pharm,42.6668581,21.1752104
4487709990,pharmacy,Besniku Pharm,42.6669397,21.1752438
4491319724,pharmacy,Leka pharm,42.3820529,20.4305674
4532493690,pharmacy,Medifarm,42.6406703,21.0997508
4558507077,pharmacy,Irisi,42.4611086,21.4675635
4558523339,pharmacy,"Barnatore ""Flora""",42.4472615,21.4713575
4558748143,pharmacy,Vjolla-Pharm,42.463211,21.4677553
4559800141,pharmacy,"Barnatorja ""BARDHI""",42.4470496,21.4714557
4559845204,pharmacy,Pranvera Pharm,42.4574015,21.4716141
4561853889,pharmacy,Barnatore Bujqesore KAMBERI,42.3902705,20.6448212
4561853989,pharmacy,Barnatore Bujqesore KAMBERI,42.4007252,20.6563282
4568436791,pharmacy,KRKA DEPO PHARMACEUTIKE,42.6514329,21.1761267
4581291006,pharmacy,Unknown,42.6669627,21.1750349
4585934907,pharmacy,Unknown,42.6597384,20.3043902
4585935301,pharmacy,Kastrati,42.6564933,20.3061569
4678228590,pharmacy,barnatore FLORINA,42.8242156,20.9643687
4741916939,pharmacy,Unik pharmacy,42.5993399,21.0213124
4743774322,pharmacy,Rio Pharm,42.6557099,21.1738737
4743794021,pharmacy,Aris,42.6592627,21.181031
4786478521,pharmacy,Orhidea Pharmacy,42.6521882,21.1541908
4825825930,pharmacy,orthomedica orthopedic shop,42.649069,21.1633569
4833160221,pharmacy,Fjori Med 2,42.6257434,21.1462865
4948151219,pharmacy,Unknown,42.5464055,21.1800662
4985654021,pharmacy,Kastrati Pharmacy,42.6539768,21.1680058
4985654022,pharmacy,Tosi,42.6492143,21.1634998
5022182222,pharmacy,Exclusiv Pharmacy,42.4655943,21.4739475
5104746221,pharmacy,Shëndeti,42.4659458,21.4719047
5109943333,pharmacy,ELIF,42.6515295,21.1761106
5127095621,pharmacy,ELIF,42.6515062,21.1760666
5162698121,pharmacy,FD Farm,42.8773142,20.8596311
5162764823,pharmacy,Barnatore Astrit Ukimeri,42.8613718,20.8465307
5261625221,pharmacy,Cibebi,42.4638028,21.4588459
5543730623,pharmacy,barnatore,41.9449878,20.67059
5610303423,pharmacy,Avena,42.654716,21.1537506
5625281222,pharmacy,Valeriana,42.6556144,21.1568956
5634975034,pharmacy,Barnatore 'Uno Pharm',42.6484524,21.1700513
5659692027,pharmacy,LIKA,42.6593718,20.2907738
5695830121,pharmacy,LINDI FARM,42.6560712,21.1816957
5766127065,pharmacy,Barnatore Medifarm,42.6414926,21.1026912
5804383454,pharmacy,IVY PHARM,42.6559392,21.1746576
5928656171,pharmacy,Unknown,42.5203065,21.1244869
5989033485,pharmacy,Melissa Kijevë,42.570455,20.7177715
6022648148,pharmacy,Unknown,42.5218471,21.1193341
6022648149,pharmacy,Unknown,42.5216577,21.1189152
6022648150,pharmacy,AR Pharmacy,42.5218204,21.118808
6022648151,pharmacy,Unknown,42.5213374,21.1181575
6022648152,pharmacy,Unknown,42.5191316,21.1221474
6052808685,pharmacy,Smartpharm,42.6409369,21.1007867
6073334285,pharmacy,EU pharm,42.6534187,21.1517908
6264067983,pharmacy,Yess Pharma,42.6589573,21.1411151
6281126241,pharmacy,Kastrati,42.6567458,21.1549524
6281406765,pharmacy,Aroma Pharm,42.6550585,21.1547327
6281514403,pharmacy,Natural Pharmacy,42.6777994,21.1620565
6281637367,pharmacy,Barnatore Austriake,42.6654154,21.1572728
